Title,Efficiency,tandem,Year,reference
Surface Cleaning and Passivation Strategy for Durable Inverted Formamidinium-Cesium Triiodide Perovskite Solar Cells,24.27,single-junction,2023,"Surface Cleaning and Passivation Strategy for Durable Inverted Formamidinium-Cesium Triiodide Perovskite Solar Cells. Wang, J; Wang, KX; Zhang, CH; Liu, SY; Guan, X; Liang, CJ; Chen, CC; Xie, FX. 2023. ADVANCED ENERGY MATERIALS."
Columnar Liquid Crystal Enables In-Situ Dispersing of Excess PbI<sub>2</sub> Crystals for Efficient and Stable Perovskite Solar Cells,24.27,single-junction,2024,"Columnar Liquid Crystal Enables In-Situ Dispersing of Excess PbI<sub>2</sub> Crystals for Efficient and Stable Perovskite Solar Cells. Bao, HY; Wang, SR; Liu, HL; Li, XG. 2024. ADVANCED ENERGY MATERIALS."
Chlorobenzenesulfonic Potassium Salts as the Efficient Multifunctional Passivator for the Buried Interface in Regular Perovskite Solar Cells,24.27,single-junction,2022,"Chlorobenzenesulfonic Potassium Salts as the Efficient Multifunctional Passivator for the Buried Interface in Regular Perovskite Solar Cells. Dong, Y; Shen, WJ; Dong, W; Bai, C; Zhao, J; Zhou, YC; Huang, FZ; Cheng, YB; Zhong, J. 2022. ADVANCED ENERGY MATERIALS."
Inhibiting Interfacial Diffusion in Heterojunction Perovskite Solar Cells by Replacing Low-Dimensional Perovskite with Uniformly Anchored Quaternized Polystyrene,24.27,single-junction,2023,"Inhibiting Interfacial Diffusion in Heterojunction Perovskite Solar Cells by Replacing Low-Dimensional Perovskite with Uniformly Anchored Quaternized Polystyrene. Tian, CC; Sun, AX; Liang, JH; Zhang, ZF; Zheng, YT; Wu, XY; Liu, Y; Tang, C; Chen, CC. 2023. SMALL."
Dual-Interface Modulation with Covalent Organic Framework Enables Efficient and Durable Perovskite Solar Cells,24.26,single-junction,2023,"Dual-Interface Modulation with Covalent Organic Framework Enables Efficient and Durable Perovskite Solar Cells. Guo, JJ; Meng, GP; Zhang, XL; Huang, HH; Shi, JW; Wang, BD; Hu, XT; Yuan, JY; Ma, WL. 2023. ADVANCED MATERIALS."
Elimination of unstable residual lead iodide near the buried interface for the stability improvement of perovskite solar cells,24.26,single-junction,2023,"Elimination of unstable residual lead iodide near the buried interface for the stability improvement of perovskite solar cells. Gao, Y; Ren, FM; Sun, DR; Li, SB; Zheng, GHJ; Wang, JA; Raza, H; Chen, R; Wang, HX; Liu, SW; Yu, P; Meng, X; He, JZ; Zhou, J; Hu, XD; Zhang, ZP; Qiu, LB; Chen, W; Liu, ZH. 2023. ENERGY & ENVIRONMENTAL SCIENCE."
2D Perovskite Capping Layer Enabling Stable Perovskite Photovoltaics,24.26,single-junction,2024,"2D Perovskite Capping Layer Enabling Stable Perovskite Photovoltaics. Zhu, XZ; Wang, KL; Wang, JG; Hao, YH; Chen, JH; Nizamani, N; Liu, Y; Wang, ZK; Liao, LS. 2024. SOLAR RRL."
Suppressing the crystallographic disorders induced by excess PbI2 to achieve trade-off between efficiency and stability for PbI2-rich perovskite solar cells,24.26,single-junction,2023,"Suppressing the crystallographic disorders induced by excess PbI2 to achieve trade-off between efficiency and stability for PbI2-rich perovskite solar cells. Zhong, H; Liu, XD; Liu, MX; Yin, S; Jia, ZZ; Fu, GS; Yang, SP; Kong, WG. 2023. NANO ENERGY."
Minimized Energy Loss at the Buried Interface of p-i-n Perovskite Solar Cells via Accelerating Charge Transfer and Forming p-n Homojunction,24.26,single-junction,2023,"Minimized Energy Loss at the Buried Interface of p-i-n Perovskite Solar Cells via Accelerating Charge Transfer and Forming p-n Homojunction. Zhang, JK; Yu, B; Sun, YP; Yu, HZ. 2023. ADVANCED ENERGY MATERIALS."
Dual-Passivation Strategy of Bulk and Surface Enables Highly Efficient and Stable Inverted Perovskite Solar Cells,24.26,single-junction,2024,"Dual-Passivation Strategy of Bulk and Surface Enables Highly Efficient and Stable Inverted Perovskite Solar Cells. Wu, RF; Yin, R; Wang, KX; Miao, WJ; Sun, WW; Huo, XN; Sun, YS; You, TT; Yin, PG. 2024. SMALL METHODS."
"A Multifunctional Molecular Bridging Layer for High Efficiency, Hysteresis-Free, and Stable Perovskite Solar Cells",24.26,single-junction,2023,"A Multifunctional Molecular Bridging Layer for High Efficiency, Hysteresis-Free, and Stable Perovskite Solar Cells. Yin, L; Ding, CZ; Liu, CG; Zhao, C; Zha, WS; Mitrovic, IZ; Lim, EG; Han, YF; Gao, XM; Zhang, LP; Wang, HB; Li, YX; Wilken, S; Österbacka, R; Lin, HZ; Ma, CQ; Zhao, CZ. 2023. ADVANCED ENERGY MATERIALS."
Enhancing the Performance of Perovskite Solar Cells with CPMIMBF<sub>4</sub> Ionic Liquid Additives,24.25,single-junction,2024,"Enhancing the Performance of Perovskite Solar Cells with CPMIMBF<sub>4</sub> Ionic Liquid Additives. Liu, SL; Cui, AL; Hong, SQ; Shou, CH; Yang, SW. 2024. ACS APPLIED ENERGY MATERIALS."
Accelerating Additive-Assisted Defect Passivation via the Structural Isomer Effect for Highly Efficient and Stable Perovskite Solar Cells,24.25,single-junction,2024,"Accelerating Additive-Assisted Defect Passivation via the Structural Isomer Effect for Highly Efficient and Stable Perovskite Solar Cells. Son, HD; Lee, S; Kim, K; Kim, YS; Kim, TW. 2024. ACS APPLIED MATERIALS & INTERFACES."
Enhancing perovskite solar cells efficiency through cesium fluoride mediated surface lead iodide modulation,24.25,single-junction,2023,"Enhancing perovskite solar cells efficiency through cesium fluoride mediated surface lead iodide modulation. Chen, JM; Xu, K; Xie, WC; Zheng, LS; Tian, YL; Zhang, J; Chen, JH; Liu, TY; Xu, HZ; Cheng, K; Ma, RM; Chen, C; Bao, JS; Wang, XC; Liu, Y. 2023. JOURNAL OF COLLOID AND INTERFACE SCIENCE."
"Chemically-Modified 2D Covalent Organic Framework as an HTL Dopant for High-Performance, Stable, and Sustainable Perovskite Solar Cells and Modules",24.25,single-junction,2024,"Chemically-Modified 2D Covalent Organic Framework as an HTL Dopant for High-Performance, Stable, and Sustainable Perovskite Solar Cells and Modules. Li, FQ; Huang, XF; Li, Y; Du, XR; Yang, EHY; Ahn, Y; Lee, BR; Wu, BH; Park, SH. 2024. ADVANCED FUNCTIONAL MATERIALS."
"Efficient, stable formamidinium-cesium perovskite solar cells and minimodules enabled by crystallization regulation",24.25,single-junction,2022,"Efficient, stable formamidinium-cesium perovskite solar cells and minimodules enabled by crystallization regulation. Li, YM; Chen, ZJ; Yu, BC; Tan, S; Cui, YQ; Wu, HJ; Luo, YH; Shi, JJ; Li, DM; Meng, QB. 2022. JOULE."
Dual modification engineering enabled efficient perovskite solar cells with high open-voltage of 1.233 V,24.24,single-junction,2024,"Dual modification engineering enabled efficient perovskite solar cells with high open-voltage of 1.233 V. Liu, ZQ; Shao, L; Zeng, FC; Bian, SH; Liu, B; Wang, YQ; Wu, YJ; Shao, YZ; Zhang, H; Zhang, YH; Shi, ZC; Bai, X; Xu, L; Zhou, DL; Dong, B; Song, HW. 2024. CHEMICAL ENGINEERING JOURNAL."
A Novel Organic Phosphonate Additive Induced Stable and Efficient Perovskite Solar Cells with Efficiency over 24% Enabled by Synergetic Crystallization Promotion and Defect Passivation,24.24,single-junction,2023,"A Novel Organic Phosphonate Additive Induced Stable and Efficient Perovskite Solar Cells with Efficiency over 24% Enabled by Synergetic Crystallization Promotion and Defect Passivation. Cheng, CD; Yao, YG; Li, L; Zhao, QQ; Zhang, CY; Zhong, XZ; Zhang, Q; Gao, YJ; Wang, K. 2023. NANO LETTERS."
Indoloindole-Based Hole Transporting Material for Efficient and Stable Perovskite Solar Cells Exceeding 24% Power Conversion Efficiency,24.24,single-junction,2023,"Indoloindole-Based Hole Transporting Material for Efficient and Stable Perovskite Solar Cells Exceeding 24% Power Conversion Efficiency. Kim, DW; Choi, KH; Hong, SH; Kang, HS; Kwon, JE; Park, S; An, BK; Park, SY. 2023. ADVANCED ENERGY MATERIALS."
Uracil Induced Simultaneously Strengthening Grain Boundaries and Interfaces Enables High-Performance Perovskite Solar Cells with Superior Operational Stability,24.23,single-junction,2024,"Uracil Induced Simultaneously Strengthening Grain Boundaries and Interfaces Enables High-Performance Perovskite Solar Cells with Superior Operational Stability. Wang, M; Sun, HX; Wang, M; Meng, LX; Li, L. 2024. ADVANCED MATERIALS."
High-Polarizability Organic Ferroelectric Materials Doping for Enhancing the Built-In Electric Field of Perovskite Solar Cells Realizing Efficiency over 24%,24.23,single-junction,2022,"High-Polarizability Organic Ferroelectric Materials Doping for Enhancing the Built-In Electric Field of Perovskite Solar Cells Realizing Efficiency over 24%. Chen, WJ; Liu, S; Li, QQ; Cheng, QR; He, BS; Hu, ZJ; Shen, YX; Chen, HY; Xu, GY; Ou, XM; Yang, HY; Xi, JC; Li, YW; Li, YF. 2022. ADVANCED MATERIALS."
Unraveling segregation behavior of inactive secondary phase driven by ion-competition reaction for perovskite-2D PbI2 heterojunction solar cells,24.23,single-junction,2023,"Unraveling segregation behavior of inactive secondary phase driven by ion-competition reaction for perovskite-2D PbI2 heterojunction solar cells. Cheng, YJ; Ma, JJ; Luo, HQ; Cai, M; Xue, TY; Yu, GH; Ren, ZQ; Song, YL; Peng, S; Zhang, YQ. 2023. NANO ENERGY."
Conductive chelating agent-treated electron transfer layers for environmentally friendly and efficient perovskite solar cells,24.23,single-junction,2024,"Conductive chelating agent-treated electron transfer layers for environmentally friendly and efficient perovskite solar cells. Li, YJ; Zhang, SF; Liu, ZH; Zhong, H; Zhang, Q; Yao, CL; Chu, XB. 2024. JOURNAL OF MATERIALS CHEMISTRY C."
Using Post-Treatment Additives for Crystal Modulation and Interface Passivation Enables the Fabrication of Efficient and Stable Perovskite Solar Cells in Air,24.22,single-junction,2024,"Using Post-Treatment Additives for Crystal Modulation and Interface Passivation Enables the Fabrication of Efficient and Stable Perovskite Solar Cells in Air. Zhang, YN; Yu, B; Wei, XC; Yu, HZ. 2024. ADVANCED ENERGY MATERIALS."
Facile Tailoring of Metal-Organic Frameworks for Förster Resonance Energy Transfer-Driven Enhancement in Perovskite Photovoltaics,24.22,single-junction,2024,"Facile Tailoring of Metal-Organic Frameworks for Förster Resonance Energy Transfer-Driven Enhancement in Perovskite Photovoltaics. Liang, X; Xia, HL; Xiang, J; Wang, F; Ma, J; Zhou, XF; Wang, H; Liu, XY; Zhu, QY; Lin, HR; Pan, J; Yuan, MJ; Li, G; Hu, HL. 2024. ADVANCED SCIENCE."
Brominated PEAI as Multi-Functional Passivator for High-Efficiency Perovskite Solar Cell,24.22,single-junction,2023,"Brominated PEAI as Multi-Functional Passivator for High-Efficiency Perovskite Solar Cell. Li, MH; Zhou, JJ; Tan, LG; Liu, Y; Wang, SY; Jiang, CF; Li, H; Zhao, X; Gao, XY; Tress, W; Ding, LM; Yi, CY. 2023. ENERGY & ENVIRONMENTAL MATERIALS."
Multiple-ion Management of Perovskites by Regulating Spatial Distribution of Hydroxyls in Oligosaccharides,24.22,single-junction,2023,"Multiple-ion Management of Perovskites by Regulating Spatial Distribution of Hydroxyls in Oligosaccharides. Liu, XT; Jiang, XQ; Zhang, JF; Li, C; Guo, X. 2023. SMALL."
Dissolved-Cl<sub>2</sub> triggered redox reaction enables high-performance perovskite solar cells,24.21,single-junction,2023,"Dissolved-Cl<sub>2</sub> triggered redox reaction enables high-performance perovskite solar cells. Luo, YJ; Liu, KK; Yang, L; Feng, WJ; Zheng, LF; Shen, LN; Jin, YB; Fang, Z; Song, PQ; Tian, WJ; Xu, P; Li, YQ; Tian, CB; Xie, LQ; Wei, ZH. 2023. NATURE COMMUNICATIONS."
Magnetic Field-Assisted Interface Embedding Strategy to Construct 2D/3D Composite Structure for Stable Perovskite Solar Cells with Efficiency Over 24%,24.21,single-junction,2023,"Magnetic Field-Assisted Interface Embedding Strategy to Construct 2D/3D Composite Structure for Stable Perovskite Solar Cells with Efficiency Over 24%. Liu, Y; Gao, YB; Bao, XY; Zhang, FJ; Xu, ZH; Hu, JH; Shi, ZF; Lu, M; Wu, ZN; Zhang, Y; Wang, DD; Yu, WW; Bai, X. 2023. SMALL."
Over 24% Efficient Poly(vinylidene fluoride) (PVDF)-Coordinated Perovskite Solar Cells with a Photovoltage up to 1.22 V,24.21,single-junction,2023,"Over 24% Efficient Poly(vinylidene fluoride) (PVDF)-Coordinated Perovskite Solar Cells with a Photovoltage up to 1.22 V. Sun, RM; Tian, QS; Li, MB; Wang, HZ; Chang, JX; Xu, WX; Li, ZH; Pan, YY; Wang, FF; Qin, TS. 2023. ADVANCED FUNCTIONAL MATERIALS."
Polymer modulated ink rheology and compatibility enables homogenized printing of a Spiro-OMeTAD transport layer for scalable and stable perovskite solar modules,24.2,single-junction,2024,"Polymer modulated ink rheology and compatibility enables homogenized printing of a Spiro-OMeTAD transport layer for scalable and stable perovskite solar modules. Li, J; Fan, BJ; Liu, XK; Liu, YX; Xing, Z; Gong, CX; Chu, ZY; Li, LF; Meng, XC; Guo, R; Wang, FY; Hu, XT; Chen, YW. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Construction of 2D/3D/2D-Structured Perovskite for High-Performance and Stable Solar Cells,24.2,single-junction,2023,"Construction of 2D/3D/2D-Structured Perovskite for High-Performance and Stable Solar Cells. Zhang, YQ; Zhang, YZ; Niu, BF; Huang, YC; Wu, HT; Fu, WF; Chen, HZ. 2023. ADVANCED FUNCTIONAL MATERIALS."
Influence of Donor Skeleton on Intramolecular Electron Transfer Amount for Efficient Perovskite Solar Cells,24.2,single-junction,2024,"Influence of Donor Skeleton on Intramolecular Electron Transfer Amount for Efficient Perovskite Solar Cells. Geng, SW; Duan, JL; Liu, NM; Li, H; Zhu, XX; Duan, XX; Guo, QY; Dou, J; He, BL; Zhao, YY; Tang, QW. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Dynamic covalent polymer engineering for stable and self-healing perovskite solar cells,24.2,single-junction,2023,"Dynamic covalent polymer engineering for stable and self-healing perovskite solar cells. Xu, P; Liu, J; Wang, S; Chen, JJ; Han, B; Meng, YY; Yang, SC; Xie, LS; Yang, MJ; Jia, RP; Ge, ZY. 2023. MATERIALS HORIZONS."
Organic Salt Buffer Layer Enables High-Performance NiO<sub><i>x</i></sub>-Based Inverted Perovskite Solar Cells,24.2,single-junction,2024,"Organic Salt Buffer Layer Enables High-Performance NiO<sub><i>x</i></sub>-Based Inverted Perovskite Solar Cells. Wang, Y; Lian, Q; Ying, ZH; Huang, YL; Li, DY; Peng, OW; Wu, ZY; Amini, A; Wang, N; Zhang, W; Cheng, C. 2024. SOLAR RRL."
Additive-Free Oxidized Spiro-MeOTAD Hole Transport Layer Significantly Improves Thermal Solar Cell Stability,24.2,single-junction,2024,"Additive-Free Oxidized Spiro-MeOTAD Hole Transport Layer Significantly Improves Thermal Solar Cell Stability. Grotevent, MJ; Lu, YL; Sverko, T; Shih, MC; Tan, S; Zhu, H; Dang, T; Mwaura, JK; Swartwout, R; Beiglböck, F; Kothe, L; Bulovic, V; Bawendi, MG. 2024. ADVANCED ENERGY MATERIALS."
Self-assembled complexing agent assisted chemical bath deposition of SnO X enabled highly efficient perovskite solar cells,24.2,single-junction,2024,"Self-assembled complexing agent assisted chemical bath deposition of SnO X enabled highly efficient perovskite solar cells. Dong, L; Lv, P; Zhu, BJ; Zhu, YQ; Hu, M; Yang, FF; Zhang, B; Cheng, YB; Xu, M; Lu, JF. 2024. CHEMICAL ENGINEERING JOURNAL."
Morphology Optimization of Perovskite Films for Efficient Cells and Modules through Solvent Engineering,24.2,single-junction,2024,"Morphology Optimization of Perovskite Films for Efficient Cells and Modules through Solvent Engineering. Li, XZ; Xu, YB; Zhou, CG; Li, Y; Ding, JN; Li, L; Yuan, NY. 2024. SOLAR RRL."
Halides-Enhanced Buried Interfaces for Stable and Extremely Low-Voltage-Deficit Perovskite Solar Cells,24.2,single-junction,2023,"Halides-Enhanced Buried Interfaces for Stable and Extremely Low-Voltage-Deficit Perovskite Solar Cells. Deng, JD; Wei, K; Yang, L; Lin, L; Xiao, YH; Cai, XY; Zhang, CP; Wu, DY; Zhang, XL; Zhang, JB. 2023. ADVANCED MATERIALS."
Orientation Manipulation and Defect Passivation for Perovskite Solar Cells by a Natural Compound,24.2,single-junction,2024,"Orientation Manipulation and Defect Passivation for Perovskite Solar Cells by a Natural Compound. Ouyang, YF; Ou, ZP; Mwakitawa, IM; Xia, TY; Pan, Y; Wang, C; Gao, Q; Zhang, B; Chen, K; He, ZJ; Shumilova, T; Guo, B; Zheng, YJ; Jiang, TM; Ma, Z; Sun, K. 2024. SMALL."
24.20%-Efficiency MA-Free Perovskite Solar Cells Enabled by Siloxane Derivative Interface Engineering,24.2,single-junction,2022,"24.20%-Efficiency MA-Free Perovskite Solar Cells Enabled by Siloxane Derivative Interface Engineering. Duan, YW; He, K; Yang, L; Xu, J; Zhao, WJ; Liu, ZK. 2022. SMALL."
Directional Transformation of Heterometallic Oxo Clusters: A New Approach to Prepare Wide-Bandgap Cathode Interlayers for Perovskite Solar Cells,24.2,single-junction,2023,"Directional Transformation of Heterometallic Oxo Clusters: A New Approach to Prepare Wide-Bandgap Cathode Interlayers for Perovskite Solar Cells. Xiao, GB; Mu, XJ; Zhou, SY; Zhu, L; Peng, Y; Liang, Q; Zou, XX; Zhang, J; Zhang, L; Cao, J. 2023. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Vitamin Natural Molecule Enabled Highly Efficient and Stable Planar n-p Homojunction Perovskite Solar Cells with Efficiency Exceeding 24.2%,24.2,single-junction,2023,"Vitamin Natural Molecule Enabled Highly Efficient and Stable Planar n-p Homojunction Perovskite Solar Cells with Efficiency Exceeding 24.2%. Liu, B; Wang, YQ; Wu, YJ; Zhang, YH; Lyu, J; Liu, ZQ; Bian, SH; Bai, X; Xu, L; Zhou, DL; Dong, B; Song, HW. 2023. ADVANCED ENERGY MATERIALS."
Dimensional Tuning of Perylene Diimide-Based Polymers for Perovskite Solar Cells with Over 24% Efficiency,24.2,single-junction,2023,"Dimensional Tuning of Perylene Diimide-Based Polymers for Perovskite Solar Cells with Over 24% Efficiency. Fu, Q; Tang, XC; Gao, YP; Liu, H; Chen, MQ; Wang, R; Song, ZL; Yang, Y; Wang, J; Liu, YS. 2023. SMALL."
One-pot surface and buried interface manipulation of perovskite film for efficient solar cells,24.2,single-junction,2023,"One-pot surface and buried interface manipulation of perovskite film for efficient solar cells. Lv, XD; Gao, XB; Yu, ZF; Xiao, GB; Tang, Y; Cao, J. 2023. CELL REPORTS PHYSICAL SCIENCE."
Simultaneous dual-interface modification based on mixed cations for efficient inverted perovskite solar cells with excellent stability,24.2,single-junction,2024,"Simultaneous dual-interface modification based on mixed cations for efficient inverted perovskite solar cells with excellent stability. Wu, CJ; Wang, RX; Lin, ZC; Yang, N; Wu, YB; Ouyang, XH. 2024. CHEMICAL ENGINEERING JOURNAL."
Mechanochemistry Advances High-Performance Perovskite Solar Cells,24.2,single-junction,2022,"Mechanochemistry Advances High-Performance Perovskite Solar Cells. Zhang, YZ; Wang, YJ; Yang, XY; Zhao, LC; Su, R; Wu, J; Luo, DY; Li, SD; Chen, P; Yu, MT; Gong, QH; Zhu, R. 2022. ADVANCED MATERIALS."
Organic iodides in efficient and stable perovskite solar cells: strong surface passivation and interaction,24.2,single-junction,2023,"Organic iodides in efficient and stable perovskite solar cells: strong surface passivation and interaction. Ren, GH; Zhang, ZG; Deng, YY; Li, ZW; Liu, CY; Wang, MK; Guo, WB. 2023. ENERGY & ENVIRONMENTAL SCIENCE."
